UniqueCount	AmbigCount
0	27
1	21
0	26
0	24
0	24
0	28
0	26
0	26
0	28
0	27
0	29
0	29
0	26
0	24
0	28
0	26
0	28
0	26
0	27
0	25
0	27
0	29
0	27
0	29
0	27
0	27
0	27
0	18
0	23
0	22
0	23
0	23
0	20
0	20
0	22
0	22
0	23
0	25
0	25
0	22
0	20
0	22
0	24
0	22
0	23
0	21
0	23
0	25
0	23
0	25
0	23
0	23
0	14
0	19
0	19
2	28
2	28
32	0
0	30
0	30
0	29
0	29
0	27
0	27
0	27
0	27
0	26
0	26
0	13
0	29
0	26
0	29
0	29
0	22
0	22
0	27
0	26
0	29
0	28
0	28
0	29
0	26
0	26
0	27
0	26
0	12
0	28
0	28
0	31
0	31
1	31
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	28
0	31
0	31
0	31
0	31
0	31
0	32
0	32
0	32
0	31
0	31
0	31
0	31
0	31
0	29
0	30
0	29
0	29
0	29
0	29
0	29
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	32
0	31
0	31
0	3
0	30
0	30
0	30
0	30
0	30
0	30
0	28
0	3
0	27
1	30
1	28
0	30
0	55
0	57
0	57
0	55
0	57
0	57
0	55
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	55
0	55
0	51
0	58
0	58
0	54
0	49
0	49
0	49
0	15
0	15
0	49
0	49
0	51
0	51
0	49
0	49
0	53
0	55
0	55
0	53
0	57
0	53
0	55
0	55
0	55
0	17
0	16
0	57
0	54
0	55
0	55
0	57
0	50
0	55
0	55
0	57
0	55
0	55
0	55
0	55
0	55
0	55
0	55
0	57
0	55
0	57
0	55
0	55
0	57
0	57
0	25
0	15
0	15
0	15
0	17
0	17
0	15
0	15
0	15
0	17
0	15
0	8
0	2
0	10
0	10
0	8
0	10
0	10
0	10
0	10
0	10
0	8
0	10
0	9
0	4
0	4
0	56
0	11
0	56
0	11
0	4
0	4
0	4
0	4
0	4
0	8
0	4
0	4
0	52
0	9
0	52
0	9
0	4
0	4
0	4
0	4
0	56
0	57
0	56
0	56
0	56
0	45
0	57
0	20
0	14
0	14
0	14
0	47
0	56
0	57
0	56
0	56
0	45
0	20
0	14
0	14
0	14
0	56
0	47
5	86
5	56
0	64
0	58
0	60
0	58
0	37
0	64
0	60
0	59
0	56
0	55
0	62
0	57
0	62
0	58
0	57
0	58
0	54
0	53
0	56
0	64
0	58
0	57
0	39
0	37
0	39
0	37
0	37
0	33
0	39
0	37
0	33
0	37
0	62
0	37
0	55
0	29
0	55
0	52
0	51
0	48
0	47
0	53
0	49
0	49
0	45
0	31
0	29
0	31
0	29
0	29
0	25
0	31
0	29
0	25
0	53
0	43
0	58
0	58
0	58
0	59
0	58
0	52
0	58
0	58
0	58
0	58
0	58
0	59
0	60
0	60
0	58
0	56
0	56
0	54
0	56
0	54
0	54
0	52
0	56
0	54
0	52
0	50
0	58
0	58
0	54
0	52
0	58
0	54
0	58
0	43
0	43
0	41
0	39
0	54
0	57
0	56
0	43
0	43
0	39
0	58
0	58
0	58
0	59
0	58
0	52
0	58
0	58
0	58
0	58
0	58
0	59
0	60
0	60
0	56
0	56
0	54
0	56
0	54
0	54
0	52
0	56
0	54
0	52
0	50
0	58
0	58
0	54
0	52
0	58
0	54
0	57
0	56
0	43
0	43
0	39
0	71
0	71
0	61
0	61
0	20
0	25
0	13
0	11
0	62
0	52
0	52
0	20
0	25
0	13
0	11
0	52
0	55
0	53
0	52
0	43
11	65
0	53
0	45
0	45
1	14
0	52
0	13
0	54
0	53
0	53
0	54
0	48
0	52
0	46
0	13
0	57
0	58
0	59
0	59
0	58
0	59
0	58
0	59
0	58
0	59
0	58
0	59
0	56
0	12
0	12
0	12
0	12
0	12
0	61
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	59
0	58
0	59
0	59
0	59
0	58
0	58
0	58
0	12
0	12
0	12
0	23
0	23
0	40
0	40
0	40
0	38
0	38
0	38
0	38
0	33
0	40
0	40
0	38
0	38
0	38
0	15
0	22
0	22
0	38
0	38
0	38
0	38
0	38
0	38
0	38
0	32
0	32
0	34
0	28
0	30
0	27
0	29
0	27
0	27
0	29
0	27
0	29
0	21
0	23
0	20
0	39
0	35
0	33
0	34
0	34
0	34
0	34
0	34
0	34
0	34
0	33
0	32
0	20
0	27
0	27
0	31
0	36
0	22
0	34
0	25
0	27
0	32
0	32
0	26
0	32
0	34
0	28
0	30
0	27
0	29
0	27
0	27
0	27
0	21
0	38
0	82
0	81
0	45
0	44
0	48
0	49
0	47
0	45
0	48
0	49
0	47
0	33
0	27
0	30
0	24
0	49
0	49
0	61
0	13
0	48
0	60
0	13
0	76
1	77
0	75
0	76
0	54
0	55
0	54
0	36
0	50
0	54
0	35
0	54
0	35
0	35
0	27
0	54
0	54
0	54
0	35
0	27
0	48
0	49
0	48
0	47
0	46
0	51
0	50
0	49
0	48
0	48
0	49
0	48
0	46
0	51
0	50
0	48
0	48
0	46
0	48
0	49
0	48
0	46
0	48
0	66
0	68
0	81
0	81
0	67
0	64
0	65
0	65
0	40
1	61
0	58
0	53
0	56
0	53
0	59
0	61
0	59
0	57
0	57
0	56
0	56
0	53
0	37
0	35
0	19
0	16
0	35
0	35
0	31
0	55
0	51
0	35
0	33
0	54
0	17
0	35
0	35
0	31
0	32
0	32
0	32
